artist,country,date_recorded,download_link,file_type,gender,is_duet,language,location,no_of_comments,no_of_followers,no_of_following,no_of_likes,no_of_recordings,no_of_views,recording_id,recording_link,song_title,user_avatar,user_group,user_name,days
Celine Dion,Spain,2016-07-07,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/386a9bfb0c5567fe8b97820020468373_1.mp3,mp3,,False,es,en,3,662,853, 4,7857,51,2045780,https://www.redkaraoke.com/profile/Newguiller_mo/recordings/2045780,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5241818_201.gif,2,Newguiller_mo,473
Celine Dion,Mexico,2016-01-28,https://www.redkaraoke.com/data/vid/es/11827/e70c927a8d6e1c6f8258445a638c2c20_1.mp4,vid,woman,False,es,en,15,14,15, 13,3,198,1908060,https://www.redkaraoke.com/profile/angy101679/recordings/1908060,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6272281_1.gif,2,angy101679,634
Celine Dion,Mexico,2017-02-20,https://www.redkaraoke.com/data/vid/es/11827/0cfc83bc629452a89a48c964d694f64c_1.mp4,vid,woman,False,es,en,1,18,21, 2,8,9,2234630,https://www.redkaraoke.com/profile/claudiacarreonsortomarti/recordings/2234630,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10137817_1.gif,2,claudiacarreonsortomarti,245
Celine Dion,Spain,2016-02-13,https://www.redkaraoke.com/data/vid/es/11827/b8967e34ec4ec83f3c0d4f616c34ce0c_1.mp4,vid,man,False,es,en,0,50,5, 2,15,20,1921649,https://www.redkaraoke.com/profile/jezu99/recordings/1921649,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6243824_1.gif,2,jezu99,618
Celine Dion,Brazil,2016-07-25,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/2b908698b29ee89a0e093d35dd741850_1.mp3,mp3,man,False,en,en,0,2,2, 2,1,6,803034,https://www.redkaraoke.com/profile/fabinhomv/recordings/803034,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8173019_1.gif,2,fabinhomv,455
Celine Dion,USA,2015-12-12,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/19c8217a86fdc02d93651eda6e216b1e_1.mp4,vid,,False,en,en,0,1,0, 3,1,80,525601,https://www.redkaraoke.com/profile/methusss/recordings/525601,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,methusss,681
Celine Dion,Spain,2017-08-06,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/62cc0b2e8c15ed08b497709749e907f7_1.mp3,mp3,woman,False,es,en,14,263,95, 12,515,68,2372483,https://www.redkaraoke.com/profile/mivisol/recordings/2372483,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic393718_87.gif,9,mivisol,78
Celine Dion,China,2016-09-02,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/ac2b3f53555f75cbeb866a8fd7cf41c3_1.mp4,vid,,False,en,en,0,372,1, 2,1782,34,848312,https://www.redkaraoke.com/profile/ccjerry/recordings/848312,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1219358_39.gif,2,ccjerry,416
Celine Dion,USA,2017-07-15,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/7781345aa263a6c16dcff03e06c54058_1.mp4,vid,,False,en,en,6,2,0, 5,1,133,1149053,https://www.redkaraoke.com/profile/abigailyonnie/recordings/1149053,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,abigailyonnie,100
Celine Dion,Spain,2016-09-26,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/b71783e2f223d0cb0ec12fbec303b536_1.mp3,mp3,,False,es,en,0,662,853, 3,7857,30,2115168,https://www.redkaraoke.com/profile/Newguiller_mo/recordings/2115168,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5241818_201.gif,2,Newguiller_mo,392
Celine Dion,India,2017-05-23,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/21c3857a623f63ff517851ce61d85470_1.mp3,mp3,,False,en,en,0,8,0, 3,2,46,1104072,https://www.redkaraoke.com/profile/rajlakshmiraaji/recordings/1104072,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10834057_1.gif,2,rajlakshmiraaji,153
Celine Dion,Emirates,2016-05-07,https://www.redkaraoke.com/data/vid/en/11827/8e619789e9047b363768174859178e96_1.mp4,vid,,False,en,en,33,73,0, 29,13,748,702639,https://www.redkaraoke.com/profile/whenayrogadorbanite/recordings/702639,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7034390_1.gif,2,whenayrogadorbanite,534
Celine Dion,Australia,2016-06-30,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/6843ae648bae7354732f4f8142af4074_1.mp4,vid,woman,False,en,en,11,11,1, 7,13,308,773395,https://www.redkaraoke.com/profile/Anna_Cheeky/recordings/773395,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7618881_1.gif,2,Anna_Cheeky,480
Celine Dion,Indonesia,2016-04-23,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/2fb378cfee8f6fc39767a410da1424b3_1.mp4,vid,woman,False,en,en,0,13,4, 2,6,13,681934,https://www.redkaraoke.com/profile/mphiitmpreew/recordings/681934,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7242991_2.gif,2,mphiitmpreew,548
Celine Dion,USA,2016-08-22,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/6d5744399152d464408f271ae8cfeab3_1.mp4,vid,,False,en,en,1,42,3, 2,60,135,837020,https://www.redkaraoke.com/profile/gambino75/recordings/837020,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,9,gambino75,427
Celine Dion,Colombia,2016-10-30,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/11387ea1325e414845ae673277f4baf2_1.mp3,mp3,woman,False,es,en,4,22,10, 4,154,27,2145416,https://www.redkaraoke.com/profile/Amarcelar/recordings/2145416,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic4948373_3.gif,2,Amarcelar,358
Celine Dion,India,2017-05-07,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/b6bfc71fac7814a1d2910b4592a3ca92_1.mp4,vid,,False,en,en,2,8,0, 4,1,121,1089319,https://www.redkaraoke.com/profile/ranishadap/recordings/1089319,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10771944_1.gif,2,ranishadap,169
Celine Dion,USA,2010-06-01,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/cc3a10d9e61120e35771413fc05b5209_1.mp4,vid,woman,False,en,en,40,50,0, 61,24,1684,56971,https://www.redkaraoke.com/profile/Gracellen/recordings/56971,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic491666_2.gif,2,Gracellen,2701
Celine Dion,Japan,2016-09-15,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/51930e2caf03bbf3244e4ce1f49d7cd1_1.mp3,mp3,man,False,en,en,29,409,358, 20,376,322,861430,https://www.redkaraoke.com/profile/nijyo/recordings/861430,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1522260_3.gif,9,nijyo,403
Celine Dion,Spain,2008-04-21,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/2bd424313cd200f74ee6da279756ffa1_1.mp3,mp3,woman,False,es,en,5,16,41, 5,71,167,150179,https://www.redkaraoke.com/profile/paunena17/recordings/150179,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic77211_1.gif,2,paunena17,3472
Celine Dion,Japan,2016-02-17,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/48b02a561233097a06f6ce8dd87966de_1.mp3,mp3,woman,False,jp,en,2,11,15, 4,17,77,303231,https://www.redkaraoke.com/profile/mikumiku2015/recordings/303231,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5882980_4.gif,2,mikumiku2015,614
Celine Dion,USA,2014-06-01,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/a6346a9f8180e48b284c65fc5a81d761_1.mp4,vid,woman,False,en,en,2,1584,283, 16,2594,184,325316,https://www.redkaraoke.com/profile/Angelsoft/recordings/325316,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2623669_38.gif,2,Angelsoft,1240
Celine Dion,Albania,2017-02-25,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/2edebb9c05ee4cfdd5b094dafdd8df4e_1.mp4,vid,,False,en,en,3,4,0, 9,1,216,1018992,https://www.redkaraoke.com/profile/donzzi/recordings/1018992,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,donzzi,240
Celine Dion,USA,2014-07-19,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/633b7b326f09af4cf43d41c6ebb7bedb_1.mp3,mp3,woman,False,en,en,3,3815,82, 67,3686,102,344421,https://www.redkaraoke.com/profile/n1angel4u/recordings/344421,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,n1angel4u,1192
Celine Dion,Philippines,2016-04-10,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/1d0195875c09ea74f1e44de40fdf4c4a_1.mp4,vid,,False,en,en,6,12,11, 13,1,216,664612,https://www.redkaraoke.com/profile/AngelJamae/recordings/664612,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6557364_1.gif,2,AngelJamae,561
Celine Dion,USA,2016-09-26,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/45ce0bdd615d9358d8e5dbc8816219c8_1.mp4,vid,woman,False,en,en,11,20,0, 18,3,373,872498,https://www.redkaraoke.com/profile/sabrinanicole11/recordings/872498,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8852812_1.gif,2,sabrinanicole11,392
Celine Dion,Spain,2017-07-23,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/6d39a96e01cea33c6fa61499449a2cc8_1.mp3,mp3,,False,es,en,24,473,156, 24,6116,155,2361732,https://www.redkaraoke.com/profile/juanmi27/recordings/2361732,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic487028_111.gif,9,juanmi27,92
Celine Dion,India,2017-08-29,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/c440e6ca16bc8f9abe65f96b5ae040be_1.mp4,vid,,False,en,en,5,3,0, 8,1,119,1186741,https://www.redkaraoke.com/profile/riyalad77/recordings/1186741,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,riyalad77,55
Celine Dion,Kingdom,2016-02-28,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/09d38441c400488a9fc82f3fa5167c0b_1.mp4,vid,woman,False,en,en,1,405,377, 4,1315,81,606087,https://www.redkaraoke.com/profile/etr68/recordings/606087,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic4591860_1.gif,9,etr68,603
Celine Dion,Spain,2017-07-23,https://www.redkaraoke.com/data/vid/es/11827/e4267c2b0b4e2005a816c306526d3018_1.mp4,vid,,False,es,en,4,164,131, 3,867,35,2361423,https://www.redkaraoke.com/profile/Josete50/recordings/2361423,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7825428_16.gif,9,Josete50,92
Celine Dion,Spain,2017-07-31,https://www.redkaraoke.com/data/vid/es/11827/64bdfbd101c7a30cfa07e822be6b2a88_1.mp4,vid,woman,False,es,en,1,62,62, 2,142,22,2368315,https://www.redkaraoke.com/profile/yukateca/recordings/2368315,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic897322_5.gif,9,yukateca,84
Celine Dion,Japan,2015-11-12,https://s3.amazonaws.com/redkaraokejp/data/vid/11827/81352dfcf78542cd24af7d8250c73a5a_1.mp4,vid,man,False,jp,en,42,337,417, 32,862,1870,297890,https://www.redkaraoke.com/profile/yasumiyo/recordings/297890,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1188879_14.gif,9,yasumiyo,711
Celine Dion,Canada,2017-03-04,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/9c90238edaff4232897cdeffa002034d_1.mp3,mp3,woman,False,en,en,7,146,236, 4,223,44,1024880,https://www.redkaraoke.com/profile/heatherskywhisper/recordings/1024880,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6046039_8.gif,2,heatherskywhisper,233
Celine Dion,Mexico,2016-10-19,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/c454049952fccf994f8f58d5f306fc82_1.mp3,mp3,,False,es,en,0,1,0, 2,2,8,2136064,https://www.redkaraoke.com/profile/cantalau34/recordings/2136064,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,cantalau34,369
Celine Dion,USA,2017-01-03,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/8c12e065198c918206ab6c68dd87f280_1.mp4,vid,man,False,en,en,2,6,0, 4,31,39,968159,https://www.redkaraoke.com/profile/willhylton/recordings/968159,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic9064286_2.gif,2,willhylton,293
Celine Dion,USA,2016-08-29,https://www.redkaraoke.com/data/vid/en/11827/ac3410f030514e2bdcd4ca621a5508b9_1.mp4,vid,,False,en,en,0,25,0, 2,10,117,843785,https://www.redkaraoke.com/profile/Egisee/recordings/843785,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,9,Egisee,420
