artist,country,date_recorded,download_link,file_type,gender,is_duet,language,location,no_of_comments,no_of_followers,no_of_following,no_of_likes,no_of_recordings,no_of_views,recording_id,recording_link,song_title,user_avatar,user_group,user_name,days
Celine Dion,Spain,2016-05-04,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/4edd5715db8c579343d62893505953b0_1.mp3,mp3,,False,es,en,37,906,11,19,1831,120,1994489,https://www.redkaraoke.com/profile/Odisea3000/recordings/1994489,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1102355_116.gif,9,Odisea3000,537
Celine Dion,USA,2015-03-20,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/e72dd12498ecc4c0ec001fd5e55a16c4_1.mp3,mp3,woman,False,en,en,4,1315,227,6,4099,88,426767,https://www.redkaraoke.com/profile/JanettDiva/recordings/426767,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1569257_33.gif,9,JanettDiva,948
Celine Dion,Jamaica,2017-06-02,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/022905f82e03534b70ea1c582b9264b0_1.mp4,vid,,False,en,en,3,7,7,3,2,123,1112426,https://www.redkaraoke.com/profile/elongraham/recordings/1112426,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8044009_1.gif,2,elongraham,143
Celine Dion,USA,2017-06-09,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/9db04deba5a02d4be5f344a46a9c900f_1.mp4,vid,man,False,en,en,5,626,565,3,5471,42,1119217,https://www.redkaraoke.com/profile/baudyrodriguez/recordings/1119217,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1705339_4.gif,9,baudyrodriguez,136
Celine Dion,USA,2008-09-04,https://www.redkaraoke.com/data/vid/en/11827/579bf6655fb72b68edcbe5e085d6b4d8_1.mp4,vid,woman,False,en,en,4,16,6,5,23,800,4082,https://www.redkaraoke.com/profile/wilkat1964/recordings/4082,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic196971_7.gif,2,wilkat1964,3336
Celine Dion,USA,2016-04-21,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/d03a485d074d2d253195eba6621d87c4_1.mp3,mp3,woman,False,en,en,0,3,3,2,2,5,679331,https://www.redkaraoke.com/profile/Mavis-V/recordings/679331,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6221942_2.gif,2,Mavis-V,550
Celine Dion,Indonesia,2017-09-09,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/c55b1500aead3f54328d048c4f61d294_1.mp4,vid,,False,en,en,6,23,12,8,4,137,1193776,https://www.redkaraoke.com/profile/Nana_neeh/recordings/1193776,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6753211_2.gif,2,Nana_neeh,44
Celine Dion,Iran,2010-08-08,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/d10784faedc0793da12d91b47e8bf5d9_1.mp3,mp3,woman,False,en,en,3,56,30,5,58,487,63666,https://www.redkaraoke.com/profile/babylady13/recordings/63666,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic361997_2.gif,2,babylady13,2633
Celine Dion,India,2017-06-25,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/13bccfd9e73647fc970b7f9573252a2b_1.mp4,vid,woman,False,en,en,0,6,4,2,2,6,1132856,https://www.redkaraoke.com/profile/richatrivedi/recordings/1132856,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10099025_2.gif,2,richatrivedi,120
Celine Dion,India,2017-03-22,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/5bc268ae6b639b47ae6a6aff6d33b79e_1.mp4,vid,,False,en,en,2,21,2,3,3,30,1042687,https://www.redkaraoke.com/profile/komalsingh_6/recordings/1042687,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10340633_2.gif,2,komalsingh_6,215
Celine Dion,Philippines,2016-04-04,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/9d73a1d631109525acd388c04bd0ae01_1.mp4,vid,woman,False,en,en,6,31,4,4,21,279,656684,https://www.redkaraoke.com/profile/juvygale/recordings/656684,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6992001_1.gif,2,juvygale,567
Celine Dion,USA,2017-01-08,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/3949df591623ffdad76b66b3b22a071b_1.mp4,vid,man,False,en,en,11,173,4,13,140,189,973011,https://www.redkaraoke.com/profile/Saltydog466/recordings/973011,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7806418_2.gif,2,Saltydog466,288
Celine Dion,Australia,2015-12-04,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/35021b9bb12c1ed9bd03c8d59cea60ac_1.mp4,vid,woman,False,en,en,9,9,1,11,1,369,520384,https://www.redkaraoke.com/profile/kristidimitrova35/recordings/520384,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5760891_2.gif,2,kristidimitrova35,689
Celine Dion,India,2016-04-03,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/b3b20cbd101f1bcfbac3423c2ef5ad84_1.mp3,mp3,woman,False,en,en,2,41,7,2,16,20,654937,https://www.redkaraoke.com/profile/prathnapal/recordings/654937,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6820676_1.gif,2,prathnapal,568
Celine Dion,Argentina,2009-11-02,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/1afd4a5ce9a3cc02c8f5eff0b1bfb259_1.mp3,mp3,woman,False,es,en,6,4,21,7,59,139,576367,https://www.redkaraoke.com/profile/carolinada/recordings/576367,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic375015_2.gif,2,carolinada,2912
Celine Dion,USA,2016-03-26,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/f3299341a24eedb82c026ea2acf9505a_1.mp4,vid,woman,False,en,en,14,20,0,19,2,298,643124,https://www.redkaraoke.com/profile/Liangyuech/recordings/643124,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6922605_2.gif,2,Liangyuech,576
Celine Dion,Japan,2016-10-19,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/fcfbd2a3241cb8418de7bfe26d696803_1.mp3,mp3,man,False,jp,en,4,132,136,6,2188,32,317636,https://www.redkaraoke.com/profile/pao_aa/recordings/317636,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic3763795_1.gif,9,pao_aa,369
Celine Dion,Japan,2017-02-26,https://s3.amazonaws.com/redkaraokejp/data/vid/11827/f239c66443677d1a32cf802c1ea2c586_1.mp4,vid,man,False,jp,en,9,151,98,10,1075,61,324342,https://www.redkaraoke.com/profile/ken-seisyou/recordings/324342,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic762663_9.gif,9,ken-seisyou,239
Celine Dion,USA,2017-07-22,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/3511f4e5859cf05681ebbe24226f3b8f_1.mp4,vid,,False,en,en,4,8,1,6,5,164,1155757,https://www.redkaraoke.com/profile/nikolette2020/recordings/1155757,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,nikolette2020,93
Celine Dion,Japan,2016-08-01,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/9e194112d90cc54bd7239c4a6394845d_1.mp3,mp3,man,False,jp,en,10,132,136,8,2188,64,312798,https://www.redkaraoke.com/profile/pao_aa/recordings/312798,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic3763795_1.gif,9,pao_aa,448
Celine Dion,Spain,2008-05-06,https://www.redkaraoke.com/data/mp3/es/11827/c51f4c78cf7d0c416af69b9af1f868ef_1.mp3,mp3,woman,False,es,en,18,16,35,19,31,367,161889,https://www.redkaraoke.com/profile/Gracitata/recordings/161889,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic114703_5.gif,2,Gracitata,3457
Celine Dion,Philippines,2016-09-10,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/9790e06b8f61973cc18206e14562828a_1.mp4,vid,,False,en,en,2,20,13,15,4,274,856826,https://www.redkaraoke.com/profile/littleblueheart/recordings/856826,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8716770_1.gif,2,littleblueheart,408
Celine Dion,USA,2008-12-17,https://www.redkaraoke.com/data/vid/en/11827/53352125403956b764d4af3c00d24cf3_1.mp4,vid,woman,False,en,en,13,19,15,13,34,1084,9858,https://www.redkaraoke.com/profile/JewelsJules/recordings/9858,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic256174_1.gif,2,JewelsJules,3232
Celine Dion,Indonesia,2016-05-30,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/89a4d2df3fe82a10d6c55e49ed2da8f7_1.mp4,vid,man,False,en,en,2,23,2,5,8,221,734752,https://www.redkaraoke.com/profile/mukhdijayadinigrat/recordings/734752,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7192136_1.gif,2,mukhdijayadinigrat,511
Celine Dion,Spain,2017-09-01,https://www.redkaraoke.com/data/vid/es/11827/d9e55cd56b33d48de4460f043d3b0a9d_1.mp4,vid,,False,es,en,4,4,1,5,2,46,2390689,https://www.redkaraoke.com/profile/irenexargayg/recordings/2390689,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,irenexargayg,52
Celine Dion,Hungary,2016-11-02,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/f5db5f228931aaf5ce32191af5fec57f_1.mp4,vid,woman,False,en,en,2,95,226,4,47,75,908364,https://www.redkaraoke.com/profile/monikahorvath/recordings/908364,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic9057583_1.gif,2,monikahorvath,355
Celine Dion,USA,2017-09-07,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/edf3a608f761921545684fd84543b498_1.mp4,vid,woman,False,en,en,7,568,467,4,942,60,1192603,https://www.redkaraoke.com/profile/Evil_Carrots/recordings/1192603,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2179676_15.gif,2,Evil_Carrots,46
Celine Dion,USA,2015-02-10,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/1222a1b08584e44a76c0f1bbcd42d012_1.mp3,mp3,woman,False,en,en,2,121,72,3,312,39,413885,https://www.redkaraoke.com/profile/jessibabz/recordings/413885,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic3516061_25.gif,9,jessibabz,986
Celine Dion,Benin,2017-04-12,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/44a2605c719464187507844334f633bb_1.mp4,vid,woman,False,en,en,2,41,49,2,54,22,1064727,https://www.redkaraoke.com/profile/zahrahaydar/recordings/1064727,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8399676_6.gif,9,zahrahaydar,194
Celine Dion,USA,2017-06-18,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/10e01684e90316926d44e542d3ac3443_1.mp4,vid,man,False,en,en,7,69,26,6,34,149,1126340,https://www.redkaraoke.com/profile/jimbezanson/recordings/1126340,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7066230_1.gif,9,jimbezanson,127
Celine Dion,USA,2016-08-02,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/b8092cf9cd00a538e19c182b28fab888_1.mp4,vid,,False,en,en,1,77,5,2,92,13,813042,https://www.redkaraoke.com/profile/calendargirl/recordings/813042,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,calendargirl,447
Celine Dion,Spain,2017-07-12,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/bdc37c85fb7848ec372ebd0eeab80cad_1.mp3,mp3,woman,False,es,en,9,421,121,8,2706,45,2352763,https://www.redkaraoke.com/profile/kamy62/recordings/2352763,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic736949_211.gif,9,kamy62,103
Celine Dion,Brazil,2014-12-25,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/cd586ed2bb2691e44f9ac9e40ebbd377_1.mp4,vid,man,False,en,en,11,666,71,12,2254,227,398030,https://www.redkaraoke.com/profile/EnioPedrozo/recordings/398030,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic3060876_35.gif,9,EnioPedrozo,1033
Celine Dion,Japan,2009-07-02,https://s3.amazonaws.com/redkaraokejp/data/vid/11827/24f4bd27f0b121bb40fbc5d8eec42d78_1.mp4,vid,woman,False,jp,en,8,17,6,7,65,1132,9101,https://www.redkaraoke.com/profile/Miwa-Yoshimura/recordings/9101,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customavatars/avatar294356_2.gif,2,Miwa-Yoshimura,3035
Celine Dion,Argentina,2015-12-21,https://www.redkaraoke.com/data/vid/es/11827/6db48fda09b09d38d86cb42fb4e04692_1.mp4,vid,,False,es,en,0,2,0,4,1,73,1884600,https://www.redkaraoke.com/profile/luli5005/recordings/1884600,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,luli5005,672
Celine Dion,USA,2017-01-26,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/44430257a3462ee33b4f612265681fc9_1.mp4,vid,woman,False,en,en,3,13,10,8,8,272,990216,https://www.redkaraoke.com/profile/Marine1616/recordings/990216,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic9071451_1.gif,2,Marine1616,270
Celine Dion,Spain,2017-06-08,https://www.redkaraoke.com/data/vid/es/11827/de1c43fc40ae07602e1c60fe31c75aea_1.mp4,vid,woman,False,es,en,12,569,246,7,1367,58,2323765,https://www.redkaraoke.com/profile/lolitafla/recordings/2323765,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic281725_17.gif,9,lolitafla,137
Celine Dion,USA,2017-04-27,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/758581c34244537437ae120b00c37a16_1.mp4,vid,woman,False,en,en,2,92,9,3,69,31,1079801,https://www.redkaraoke.com/profile/virginiagallo/recordings/1079801,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic9326977_4.gif,2,virginiagallo,179
Celine Dion,Spain,2008-12-14,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/7ad4433ceb0299d675cddb2c3c826cea_1.mp3,mp3,woman,False,es,en,9,1,1,7,20,345,341848,https://www.redkaraoke.com/profile/chulera/recordings/341848,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic48305_10.gif,2,chulera,3235
Celine Dion,USA,2016-03-14,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/a03c58f42ea5b5e1f70d3ef09efc1a7d_1.mp4,vid,,False,en,en,8,15,2,18,2,299,626337,https://www.redkaraoke.com/profile/genebeth/recordings/626337,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,genebeth,588
Celine Dion,USA,2017-01-20,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/426e06595dbdf06d8241b552cb7b3ab6_1.mp4,vid,,False,en,en,0,56,13,2,45,49,984225,https://www.redkaraoke.com/profile/musiclover35/recordings/984225,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,9,musiclover35,276
Celine Dion,USA,2017-06-11,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/1e01e944d295e5af8cb51af85219ef89_1.mp3,mp3,woman,False,es,en,2,398,522,2,1828,14,2326330,https://www.redkaraoke.com/profile/cinnamon/recordings/2326330,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic255517_18.gif,9,cinnamon,134
Celine Dion,Sweden,2014-05-12,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/7422d9317cbe57ca29f3aa3563e12e94_1.mp3,mp3,man,False,en,en,7,903,198,3,836,78,317150,https://www.redkaraoke.com/profile/irina32/recordings/317150,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2648790_13.gif,2,irina32,1260
Celine Dion,Colombia,2017-06-02,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/6afb6b17f14fdc1680001da1551b95b0_1.mp3,mp3,woman,False,es,en,2,0,0,3,2,8,2318662,https://www.redkaraoke.com/profile/hemobi/recordings/2318662,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2507564_2.gif,2,hemobi,143
Celine Dion,USA,2008-09-12,https://www.redkaraoke.com/data/vid/en/11827/abc7fab1f2ca44a3956a86f3e0ccc410_1.mp4,vid,woman,False,en,en,1,1,0,3,1,432,4479,https://www.redkaraoke.com/profile/singinmama/recordings/4479,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/mujerpequena.jpg,2,singinmama,3328
Celine Dion,USA,2017-09-07,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/ad33b5c89cc5d100a86c42919192c06c_1.mp4,vid,,False,en,en,12,32,1,25,124,558,1192403,https://www.redkaraoke.com/profile/eddiehann/recordings/1192403,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic9329730_1.gif,2,eddiehann,46
Celine Dion,Spain,2017-07-14,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/1ffdd818cae12c98b9e3e45669c038a7_1.mp3,mp3,,False,es,en,3,164,131,2,867,33,2354673,https://www.redkaraoke.com/profile/Josete50/recordings/2354673,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7825428_16.gif,9,Josete50,101
Celine Dion,Islands,2017-01-29,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/088db10cbfbc799a0c943df2d37815ba_1.mp3,mp3,woman,False,en,en,9,263,398,7,177,60,993569,https://www.redkaraoke.com/profile/verenisse1331/recordings/993569,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2004327_12.gif,9,verenisse1331,267
Celine Dion,USA,2015-04-23,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/e76aad0f5ac6bcc09dacdaf0c54f86e6_1.mp3,mp3,woman,False,en,en,14,452,190,11,448,96,436327,https://www.redkaraoke.com/profile/cygraham/recordings/436327,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic1276816_41.gif,2,cygraham,914
Celine Dion,Kong,2016-01-22,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/7beeb34edc3469eba71395ccf936e591_1.mp4,vid,woman,False,en,en,8,209,92,8,54,93,558801,https://www.redkaraoke.com/profile/Sellamay/recordings/558801,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic6186487_13.gif,2,Sellamay,640
Celine Dion,Germany,2016-09-08,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/4a191b593c09aae52e8fec7ef1e285c0_1.mp3,mp3,woman,False,en,en,4,11,20,3,30,22,854381,https://www.redkaraoke.com/profile/steffiwa/recordings/854381,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7883408_2.gif,2,steffiwa,410
Celine Dion,Venezuela,2008-10-10,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/a8b622ed3352c0b3633c326ec7ebd69b_1.mp3,mp3,woman,False,es,en,11,8,5,9,3,199,287875,https://www.redkaraoke.com/profile/ninita/recordings/287875,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic202958_1.gif,2,ninita,3300
Celine Dion,Kuwait,2016-07-09,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/94c5876d1a15b5bdcfd744305f8484a2_1.mp4,vid,woman,False,en,en,0,6,1,2,2,11,784034,https://www.redkaraoke.com/profile/enyrojespiandiong/recordings/784034,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8086756_1.gif,2,enyrojespiandiong,471
Celine Dion,Spain,2008-08-02,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/8514121fc6af251115c6f0ef9d24fc75_1.mp3,mp3,woman,False,es,en,2,5,6,2,9,183,234070,https://www.redkaraoke.com/profile/Hattusa_75/recordings/234070,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic142677_1.gif,2,Hattusa_75,3369
Celine Dion,India,2016-05-07,https://www.redkaraoke.com/data/vid/en/11827/c77feb59925a80c75643e4cb9019d622_1.mp4,vid,,False,en,en,5,17,0,8,4,355,703074,https://www.redkaraoke.com/profile/pcsings/recordings/703074,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,pcsings,534
Celine Dion,Chile,2017-01-10,https://www.redkaraoke.com/data/vid/es/11827/2260f87c2604fe6a3a7388c2f01252b8_1.mp4,vid,woman,False,es,en,3,61,37,3,12,25,2200386,https://www.redkaraoke.com/profile/carmennunezabreu/recordings/2200386,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7196658_2.gif,2,carmennunezabreu,286
Celine Dion,Australia,2009-09-30,https://www.redkaraoke.com/data/mp3/en/11827/69aebd6a4abef3dfe75bc6f03c32ac1a_1.mp3,mp3,woman,False,en,en,4,7,0,5,10,375,31738,https://www.redkaraoke.com/profile/sheebaliz/recordings/31738,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/mujerpequena.jpg,2,sheebaliz,2945
Celine Dion,Philippines,2016-07-27,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/0a9b888bfbf10e03d7662ea4267f450c_1.mp4,vid,,False,en,en,6,21,80,6,1,201,805834,https://www.redkaraoke.com/profile/ellacute_1/recordings/805834,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic8280547_1.gif,2,ellacute_1,453
Celine Dion,Indonesia,2016-06-28,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/df3866b097011d2a16f7b590a4fcde06_1.mp3,mp3,woman,False,en,en,5,57,69,3,14,48,771976,https://www.redkaraoke.com/profile/aniesa_chacha/recordings/771976,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic7983338_2.gif,2,aniesa_chacha,482
Celine Dion,Venezuela,2017-06-11,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/abc2a9f852ec4f3fc0390fc6861f478e_1.mp3,mp3,man,False,es,en,10,144,94,2,979,23,2326329,https://www.redkaraoke.com/profile/williancolina/recordings/2326329,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic346358_1.gif,2,williancolina,134
Celine Dion,USA,2016-05-18,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/5ba8ec37ab279af1051298f940a526a9_1.mp4,vid,,False,en,en,0,3,0,2,1,6,718990,https://www.redkaraoke.com/profile/XxEllaxX122/recordings/718990,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,XxEllaxX122,523
